"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202310","0550CZS270","1","578484","91.87","502","89201","25","6.58","0.01","525","501","493","22","20231101083112","신림IC","37.225669","128.087713","제천IC","37.133038","128.142648"
"202310","0550CZE265","1","337393","99.89","255","50361","223","7.89","0.03","267","255","241","18","20231101083112","제천JC","37.075750","128.182207","제천IC","37.133038","128.142648"
"202310","0450CZS230","1","1077836","88.17","593","89225","26","46.71","0.07","726","579","522","142","20231101083112","여주JC","37.231846","127.590937","감곡IC","37.124575","127.669836"
"202310","0450CZE225","1","986514","89.34","487","89221","25","41.67","0.08","600","472","441","111","20231101083112","충주JC","37.040972","127.759211","감곡IC","37.124575","127.669836"
"202310","0550CZE250","1","524200","99.24","434","85557","23","15.73","0.03","502","433","414","61","20231101083112","북단양IC","37.014969","128.288500","남제천IC","37.065922","128.188074"
"202310","0550CZS260","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","제천JC","37.075750","128.182207","남제천IC","37.065922","128.188074"
"202310","0550CZS250","1","502580","93.63","460","89219","24","23.76","0.05","504","464","428","53","20231101083112","남제천IC","37.065922","128.188074","북단양IC","37.014969","128.288500"
"202310","0550CZE240","1","393669","99.07","515","58134","35","12.95","0.02","539","519","487","36","20231101083112","단양IC","36.917949","128.364609","북단양IC","37.014969","128.288500"
"202310","0352CZE330","1","943159","92.54","162","89223","27","5.82","0.03","174","164","152","15","20231101083112","대소JC","36.941097","127.472804","대소IC","36.981778","127.470966"
"202310","0352CZS340","1","892849","87.53","185","89201","16","9.00","0.04","198","187","169","20","20231101083112","삼성 하이패스 IC","","","대소IC","36.981778","127.470966"
"202310","0550CZE230","1","437979","96.29","634","84036","28","30.81","0.04","717","631","595","85","20231101083112","풍기IC","36.852531","128.530415","단양IC","36.917949","128.364609"
"202310","0550CZS240","1","371974","98.92","516","60736","18","17.41","0.03","560","511","493","46","20231101083112","북단양IC","37.014969","128.288500","단양IC","36.917949","128.364609"
